/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-20 21:22:30:025 0 sec: 0 operations; est completion in 0 second 
2020-03-20 21:22:40:009 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-20 21:22:50:009 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(1, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-20 21:23:00:009 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-20 21:23:10:009 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-20 21:34:40:009 683 sec: 181341 operations; 265 current ops/sec; est completion in 10 hours 17 minutes [READ: Count=2650, Max=9463, Min=3342, Avg=3766.3, 90=3871, 99=5427, 99.9=9343, 99.99=9463] 
2020-03-20 21:34:50:009 693 sec: 184002 operations; 266.1 current ops/sec; est completion in 10 hours 16 minutes [READ: Count=2661, Max=9319, Min=3042, Avg=3749.07, 90=3867, 99=4867, 99.9=9143, 99.99=9319] 
2020-03-20 21:35:00:009 703 sec: 186649 operations; 264.7 current ops/sec; est completion in 10 hours 16 minutes [READ: Count=2647, Max=9391, Min=3358, Avg=3769.53, 90=3861, 99=6347, 99.9=9287, 99.99=9391] 
2020-03-20 21:35:10:009 713 sec: 189304 operations; 265.5 current ops/sec; est completion in 10 hours 16 minutes [READ: Count=2656, Max=9287, Min=3310, Avg=3758.2, 90=3861, 99=5567, 99.9=9207, 99.99=9287] 
2020-03-20 21:35:20:009 723 sec: 191948 operations; 264.4 current ops/sec; est completion in 10 hours 16 minutes [READ: Count=2643, Max=9255, Min=3214, Avg=3775.29, 90=3869, 99=6483, 99.9=9183, 99.99=9255] 
2020-03-20 21:35:30:009 733 sec: 194598 operations; 265 current ops/sec; est completion in 10 hours 16 minutes [READ: Count=2650, Max=9511, Min=3110, Avg=3765.09, 90=3853, 99=6439, 99.9=9327, 99.99=9511] 
2020-03-20 21:35:40:009 743 sec: 197237 operations; 263.9 current ops/sec; est completion in 10 hours 16 minutes [READ: Count=2639, Max=9287, Min=3264, Avg=3781, 90=3867, 99=6499, 99.9=9223, 99.99=9287] 
2020-03-20 21:35:50:009 753 sec: 199871 operations; 263.4 current ops/sec; est completion in 10 hours 16 minutes [READ: Count=2634, Max=9359, Min=3344, Avg=3787.79, 90=3873, 99=6495, 99.9=9311, 99.99=9359] 
2020-03-20 21:36:00:009 763 sec: 202530 operations; 265.9 current ops/sec; est completion in 10 hours 15 minutes [READ: Count=2659, Max=9311, Min=3398, Avg=3752.93, 90=3861, 99=4767, 99.9=9287, 99.99=9311] 
2020-03-20 21:36:10:009 773 sec: 205189 operations; 265.9 current ops/sec; est completion in 10 hours 15 minutes [READ: Count=2659, Max=9551, Min=3180, Avg=3753.07, 90=3863, 99=5615, 99.9=9319, 99.99=9551] 
2020-03-20 21:36:20:009 783 sec: 207847 operations; 265.8 current ops/sec; est completion in 10 hours 15 minutes [READ: Count=2658, Max=9303, Min=3178, Avg=3754.53, 90=3875, 99=5343, 99.9=9103, 99.99=9303] 
2020-03-20 21:36:30:009 793 sec: 210477 operations; 263 current ops/sec; est completion in 10 hours 15 minutes [READ: Count=2631, Max=9463, Min=3338, Avg=3793, 90=3879, 99=6535, 99.9=9343, 99.99=9463] 
2020-03-20 21:36:40:009 803 sec: 213118 operations; 264.1 current ops/sec; est completion in 10 hours 15 minutes [READ: Count=2640, Max=9327, Min=3374, Avg=3778.07, 90=3863, 99=5743, 99.9=9263, 99.99=9327] 
2020-03-20 21:36:50:009 813 sec: 215750 operations; 263.2 current ops/sec; est completion in 10 hours 15 minutes [READ: Count=2632, Max=9407, Min=3314, Avg=3791.16, 90=3891, 99=6443, 99.9=9375, 99.99=9407] 
2020-03-20 21:37:00:009 823 sec: 218381 operations; 263.1 current ops/sec; est completion in 10 hours 15 minutes [READ: Count=2631, Max=9399, Min=3324, Avg=3793.33, 90=3879, 99=6559, 99.9=9303, 99.99=9399] 
2020-03-20 21:37:10:009 833 sec: 221024 operations; 264.3 current ops/sec; est completion in 10 hours 14 minutes [READ: Count=2643, Max=6043, Min=3224, Avg=3775.58, 90=3899, 99=4055, 99.9=4515, 99.99=6043] 
2020-03-20 21:37:20:009 843 sec: 223661 operations; 263.73 current ops/sec; est completion in 10 hours 14 minutes [READ: Count=2637, Max=9543, Min=3194, Avg=3784.83, 90=3887, 99=6307, 99.9=9343, 99.99=9543] 
2020-03-20 21:37:30:009 853 sec: 226339 operations; 267.77 current ops/sec; est completion in 10 hours 14 minutes [READ: Count=2678, Max=9199, Min=3290, Avg=3725.81, 90=3843, 99=4399, 99.9=9023, 99.99=9199] 
2020-03-20 21:37:40:009 863 sec: 228978 operations; 263.9 current ops/sec; est completion in 10 hours 14 minutes [READ: Count=2639, Max=11295, Min=3292, Avg=3780.23, 90=3869, 99=6283, 99.9=9223, 99.99=11295] 
2020-03-20 21:37:50:009 873 sec: 231631 operations; 265.3 current ops/sec; est completion in 10 hours 14 minutes [READ: Count=2653, Max=9287, Min=3390, Avg=3761.63, 90=3875, 99=4967, 99.9=9255, 99.99=9287] 
