2020-03-22 16:32:31:162 597 sec: 94316 operations; 159 current ops/sec; est completion in 17 hours 25 minutes [READ: Count=1590, Max=14527, Min=5480, Avg=6280.22, 90=6423, 99=7603, 99.9=14439, 99.99=14527] 
2020-03-22 16:32:41:162 607 sec: 95893 operations; 157.7 current ops/sec; est completion in 17 hours 25 minutes [READ: Count=1577, Max=14455, Min=5596, Avg=6332.49, 90=6431, 99=9207, 99.9=14439, 99.99=14455] 
2020-03-22 16:32:51:162 617 sec: 97490 operations; 159.7 current ops/sec; est completion in 17 hours 25 minutes [READ: Count=1597, Max=14583, Min=5464, Avg=6251.33, 90=6415, 99=7795, 99.9=14423, 99.99=14583] 
2020-03-22 16:33:01:162 627 sec: 99067 operations; 157.7 current ops/sec; est completion in 17 hours 25 minutes [READ: Count=1577, Max=14279, Min=5824, Avg=6334.34, 90=6447, 99=8999, 99.9=14215, 99.99=14279] 
2020-03-22 16:33:11:162 637 sec: 100645 operations; 157.8 current ops/sec; est completion in 17 hours 25 minutes [READ: Count=1578, Max=12719, Min=5832, Avg=6325.61, 90=6479, 99=6711, 99.9=11311, 99.99=12719] 
2020-03-22 16:33:21:162 647 sec: 102224 operations; 157.9 current ops/sec; est completion in 17 hours 24 minutes [READ: Count=1579, Max=14279, Min=5720, Avg=6326.1, 90=6479, 99=6679, 99.9=14159, 99.99=14279] 
2020-03-22 16:33:31:163 657 sec: 103799 operations; 157.5 current ops/sec; est completion in 17 hours 24 minutes [READ: Count=1575, Max=14511, Min=5688, Avg=6338.86, 90=6427, 99=9135, 99.9=14295, 99.99=14511] 
2020-03-22 16:33:41:162 667 sec: 105371 operations; 157.2 current ops/sec; est completion in 17 hours 24 minutes [READ: Count=1573, Max=14519, Min=5808, Avg=6350.44, 90=6439, 99=9223, 99.9=14359, 99.99=14519] 
2020-03-22 16:33:51:163 677 sec: 106961 operations; 159 current ops/sec; est completion in 17 hours 24 minutes [READ: Count=1590, Max=14471, Min=5552, Avg=6280.93, 90=6407, 99=9063, 99.9=14383, 99.99=14471] 
2020-03-22 16:34:01:162 687 sec: 108544 operations; 158.3 current ops/sec; est completion in 17 hours 24 minutes [READ: Count=1582, Max=16639, Min=5576, Avg=6309.96, 90=6431, 99=7547, 99.9=14559, 99.99=16639] 
2020-03-22 16:34:11:162 697 sec: 110120 operations; 157.6 current ops/sec; est completion in 17 hours 23 minutes [READ: Count=1576, Max=14447, Min=5860, Avg=6332.96, 90=6435, 99=9191, 99.9=14287, 99.99=14447] 
2020-03-22 16:34:21:162 707 sec: 111697 operations; 157.7 current ops/sec; est completion in 17 hours 23 minutes [READ: Count=1577, Max=14535, Min=5828, Avg=6330.34, 90=6431, 99=8991, 99.9=14319, 99.99=14535] 
2020-03-22 16:34:31:162 717 sec: 113282 operations; 158.5 current ops/sec; est completion in 17 hours 23 minutes [READ: Count=1585, Max=14631, Min=5704, Avg=6300.36, 90=6427, 99=9191, 99.9=14327, 99.99=14631] 
2020-03-22 16:34:41:162 727 sec: 114870 operations; 158.8 current ops/sec; est completion in 17 hours 23 minutes [READ: Count=1588, Max=14527, Min=5308, Avg=6291.39, 90=6435, 99=7599, 99.9=14503, 99.99=14527] 
2020-03-22 16:34:51:162 737 sec: 116444 operations; 157.4 current ops/sec; est completion in 17 hours 23 minutes [READ: Count=1574, Max=14399, Min=5568, Avg=6345.55, 90=6427, 99=9367, 99.9=14383, 99.99=14399] 
2020-03-22 16:35:01:162 747 sec: 118024 operations; 158 current ops/sec; est completion in 17 hours 23 minutes [READ: Count=1580, Max=14375, Min=5604, Avg=6320.66, 90=6423, 99=9287, 99.9=14119, 99.99=14375] 
2020-03-22 16:35:11:162 757 sec: 119603 operations; 157.9 current ops/sec; est completion in 17 hours 22 minutes [READ: Count=1579, Max=14511, Min=5536, Avg=6323.99, 90=6431, 99=9223, 99.9=14351, 99.99=14511] 
2020-03-22 16:35:21:162 767 sec: 121185 operations; 158.2 current ops/sec; est completion in 17 hours 22 minutes [READ: Count=1582, Max=14535, Min=5776, Avg=6315, 90=6427, 99=9023, 99.9=14447, 99.99=14535] 
2020-03-22 16:35:31:162 777 sec: 122765 operations; 158 current ops/sec; est completion in 17 hours 22 minutes [READ: Count=1580, Max=14439, Min=5812, Avg=6318.91, 90=6423, 99=9111, 99.9=14319, 99.99=14439] 
2020-03-22 16:35:41:162 787 sec: 124342 operations; 157.7 current ops/sec; est completion in 17 hours 22 minutes [READ: Count=1577, Max=14495, Min=5644, Avg=6334.56, 90=6431, 99=9263, 99.9=14415, 99.99=14495] 
2020-03-22 16:35:51:163 797 sec: 125925 operations; 158.3 current ops/sec; est completion in 17 hours 22 minutes [READ: Count=1583, Max=14495, Min=5736, Avg=6308, 90=6419, 99=8999, 99.9=14303, 99.99=14495] 
2020-03-22 16:36:01:162 807 sec: 127500 operations; 157.5 current ops/sec; est completion in 17 hours 22 minutes [READ: Count=1575, Max=14359, Min=5860, Avg=6344.22, 90=6435, 99=9167, 99.9=14319, 99.99=14359] 
2020-03-22 16:36:11:162 817 sec: 129090 operations; 159 current ops/sec; est completion in 17 hours 21 minutes [READ: Count=1590, Max=14335, Min=5712, Avg=6278.36, 90=6419, 99=6839, 99.9=14111, 99.99=14335] 
2020-03-22 16:36:21:162 827 sec: 130683 operations; 159.3 current ops/sec; est completion in 17 hours 21 minutes [READ: Count=1593, Max=14399, Min=5624, Avg=6272.88, 90=6415, 99=9095, 99.9=14343, 99.99=14399] 
2020-03-22 16:36:31:162 837 sec: 132263 operations; 158 current ops/sec; est completion in 17 hours 21 minutes [READ: Count=1580, Max=14431, Min=5756, Avg=6318.2, 90=6431, 99=8847, 99.9=14279, 99.99=14431] 
2020-03-22 16:36:41:163 847 sec: 133851 operations; 158.8 current ops/sec; est completion in 17 hours 21 minutes [READ: Count=1589, Max=14407, Min=5496, Avg=6289.14, 90=6411, 99=9135, 99.9=14335, 99.99=14407] 
2020-03-22 16:36:51:163 857 sec: 135437 operations; 158.6 current ops/sec; est completion in 17 hours 20 minutes [READ: Count=1585, Max=14351, Min=5776, Avg=6299.84, 90=6455, 99=6875, 99.9=14023, 99.99=14351] 
2020-03-22 16:37:01:163 867 sec: 137024 operations; 158.7 current ops/sec; est completion in 17 hours 20 minutes [READ: Count=1587, Max=14319, Min=5612, Avg=6291.6, 90=6423, 99=7499, 99.9=14215, 99.99=14319] 
2020-03-22 16:37:11:162 877 sec: 138608 operations; 158.4 current ops/sec; est completion in 17 hours 20 minutes [READ: Count=1584, Max=14471, Min=5624, Avg=6306.74, 90=6423, 99=7767, 99.9=14351, 99.99=14471] 
2020-03-22 16:37:21:162 887 sec: 140195 operations; 158.7 current ops/sec; est completion in 17 hours 20 minutes [READ: Count=1587, Max=14847, Min=5684, Avg=6293.99, 90=6419, 99=9143, 99.9=14327, 99.99=14847] 
2020-03-22 16:37:31:162 897 sec: 141804 operations; 160.9 current ops/sec; est completion in 17 hours 19 minutes [READ: Count=1609, Max=14543, Min=5368, Avg=6208.41, 90=6403, 99=7463, 99.9=14399, 99.99=14543] 
2020-03-22 16:37:41:162 907 sec: 143386 operations; 158.2 current ops/sec; est completion in 17 hours 19 minutes [READ: Count=1582, Max=14791, Min=5596, Avg=6313.51, 90=6419, 99=9055, 99.9=14743, 99.99=14791] 
2020-03-22 16:37:51:162 917 sec: 144973 operations; 158.7 current ops/sec; est completion in 17 hours 19 minutes [READ: Count=1587, Max=14607, Min=5736, Avg=6294.07, 90=6419, 99=7623, 99.9=14447, 99.99=14607] 
2020-03-22 16:38:01:162 927 sec: 146555 operations; 158.2 current ops/sec; est completion in 17 hours 19 minutes [READ: Count=1582, Max=14343, Min=5668, Avg=6312.53, 90=6435, 99=8159, 99.9=14183, 99.99=14343] 
2020-03-22 16:38:11:162 937 sec: 148135 operations; 158 current ops/sec; est completion in 17 hours 19 minutes [READ: Count=1580, Max=14255, Min=5752, Avg=6320.11, 90=6427, 99=9159, 99.9=14167, 99.99=14255] 
2020-03-22 16:38:21:162 947 sec: 149717 operations; 158.2 current ops/sec; est completion in 17 hours 18 minutes [READ: Count=1582, Max=14527, Min=5800, Avg=6311.75, 90=6431, 99=8839, 99.9=14247, 99.99=14527] 
2020-03-22 16:38:31:162 957 sec: 151314 operations; 159.7 current ops/sec; est completion in 17 hours 18 minutes [READ: Count=1597, Max=14383, Min=5692, Avg=6255.17, 90=6411, 99=6567, 99.9=14047, 99.99=14383] 
2020-03-22 16:38:41:162 967 sec: 152900 operations; 158.6 current ops/sec; est completion in 17 hours 18 minutes [READ: Count=1586, Max=14423, Min=5660, Avg=6297.12, 90=6419, 99=7415, 99.9=14423, 99.99=14423] 
2020-03-22 16:38:51:162 977 sec: 154491 operations; 159.1 current ops/sec; est completion in 17 hours 18 minutes [READ: Count=1591, Max=14415, Min=5768, Avg=6278.7, 90=6415, 99=7195, 99.9=14295, 99.99=14415] 
2020-03-22 16:39:01:162 987 sec: 156071 operations; 158 current ops/sec; est completion in 17 hours 18 minutes [READ: Count=1580, Max=14511, Min=5668, Avg=6317.55, 90=6427, 99=9047, 99.9=14367, 99.99=14511] 
