2020-03-27 14:32:04:566 737 sec: 8439 operations; 11.7 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=117, Max=162687, Min=15672, Avg=85203.25, 90=155391, 99=159359, 99.9=162687, 99.99=162687] 
2020-03-27 14:32:14:566 747 sec: 8549 operations; 11 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=110, Max=171263, Min=15624, Avg=90331.75, 90=157311, 99=158463, 99.9=171263, 99.99=171263] 
2020-03-27 14:32:24:566 757 sec: 8659 operations; 11 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=110, Max=158591, Min=15656, Avg=91465.45, 90=157695, 99=158463, 99.9=158591, 99.99=158591] 
2020-03-27 14:32:34:566 767 sec: 8775 operations; 11.6 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=116, Max=166527, Min=15712, Avg=85911.72, 90=143359, 99=158591, 99.9=166527, 99.99=166527] 
2020-03-27 14:32:44:566 777 sec: 8884 operations; 10.9 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=109, Max=158719, Min=15704, Avg=92343.49, 90=157823, 99=158591, 99.9=158719, 99.99=158719] 
2020-03-27 14:32:54:566 787 sec: 8995 operations; 11.1 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=111, Max=159103, Min=15584, Avg=90098.31, 90=142719, 99=158463, 99.9=159103, 99.99=159103] 
2020-03-27 14:33:04:566 797 sec: 9118 operations; 12.3 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=123, Max=158591, Min=15608, Avg=80825.66, 90=155391, 99=158591, 99.9=158591, 99.99=158591] 
2020-03-27 14:33:14:566 807 sec: 9231 operations; 11.3 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=113, Max=158591, Min=15688, Avg=87839.29, 90=157567, 99=158335, 99.9=158591, 99.99=158591] 
2020-03-27 14:33:24:566 817 sec: 9347 operations; 11.6 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=116, Max=158719, Min=15440, Avg=86747.86, 90=156799, 99=158591, 99.9=158719, 99.99=158719] 
2020-03-27 14:33:34:566 827 sec: 9458 operations; 11.1 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=111, Max=158463, Min=15680, Avg=90333.59, 90=142975, 99=158207, 99.9=158463, 99.99=158463] 
