2020-03-29 06:43:41:828 462 sec: 6361 operations; 13.1 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=131, Max=151295, Min=4452, Avg=76717.01, 90=131839, 99=150015, 99.9=151295, 99.99=151295] 
2020-03-29 06:43:51:828 472 sec: 6493 operations; 13.2 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=132, Max=145535, Min=4572, Avg=75689.18, 90=127167, 99=134015, 99.9=145535, 99.99=145535] 
2020-03-29 06:44:01:829 482 sec: 6637 operations; 14.4 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=144, Max=170623, Min=4476, Avg=69559.15, 90=124095, 99=152831, 99.9=170623, 99.99=170623] 
2020-03-29 06:44:11:828 492 sec: 6773 operations; 13.6 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=136, Max=153471, Min=4508, Avg=73378.32, 90=131199, 99=146943, 99.9=153471, 99.99=153471] 
2020-03-29 06:44:21:828 502 sec: 6907 operations; 13.4 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=134, Max=162559, Min=4420, Avg=74546.3, 90=128895, 99=150527, 99.9=162559, 99.99=162559] 
2020-03-29 06:44:31:828 512 sec: 7045 operations; 13.8 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=138, Max=156159, Min=4472, Avg=72064.22, 90=127487, 99=145919, 99.9=156159, 99.99=156159] 
2020-03-29 06:44:41:828 522 sec: 7187 operations; 14.2 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=142, Max=170367, Min=4276, Avg=70811.21, 90=133375, 99=155391, 99.9=170367, 99.99=170367] 
2020-03-29 06:44:51:828 532 sec: 7332 operations; 14.5 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=145, Max=138623, Min=4548, Avg=69000.17, 90=128703, 99=138495, 99.9=138623, 99.99=138623] 
2020-03-29 06:45:01:828 542 sec: 7471 operations; 13.9 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=139, Max=151807, Min=4576, Avg=71821.06, 90=128255, 99=145919, 99.9=151807, 99.99=151807] 
2020-03-29 06:45:11:828 552 sec: 7614 operations; 14.3 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=143, Max=140159, Min=4344, Avg=70000.74, 90=123967, 99=138239, 99.9=140159, 99.99=140159] 
2020-03-29 06:45:21:828 562 sec: 7747 operations; 13.3 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=133, Max=152319, Min=4220, Avg=75034.69, 90=128255, 99=150271, 99.9=152319, 99.99=152319] 
2020-03-29 06:45:31:828 572 sec: 7884 operations; 13.7 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=137, Max=150271, Min=4504, Avg=72628.51, 90=129087, 99=146303, 99.9=150271, 99.99=150271] 
2020-03-29 06:45:41:828 582 sec: 8015 operations; 13.1 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=131, Max=162687, Min=4508, Avg=76194.53, 90=129727, 99=151039, 99.9=162687, 99.99=162687] 
2020-03-29 06:45:51:828 592 sec: 8147 operations; 13.2 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=132, Max=145407, Min=4584, Avg=76421.06, 90=128383, 99=138111, 99.9=145407, 99.99=145407] 
2020-03-29 06:46:01:828 602 sec: 8287 operations; 14 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=140, Max=145919, Min=4532, Avg=70840.39, 90=128703, 99=141823, 99.9=145919, 99.99=145919] 
2020-03-29 06:46:11:828 612 sec: 8424 operations; 13.7 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=137, Max=169983, Min=4216, Avg=73218.69, 90=128127, 99=146431, 99.9=169983, 99.99=169983] 
2020-03-29 06:46:21:828 622 sec: 8549 operations; 12.5 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=125, Max=138239, Min=4484, Avg=80068.62, 90=128639, 99=137727, 99.9=138239, 99.99=138239] 
2020-03-29 06:46:31:828 632 sec: 8697 operations; 14.8 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=148, Max=140415, Min=4528, Avg=67780.61, 90=127999, 99=138239, 99.9=140415, 99.99=140415] 
2020-03-29 06:46:41:828 642 sec: 8831 operations; 13.4 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=134, Max=146047, Min=4096, Avg=74364.91, 90=128767, 99=145791, 99.9=146047, 99.99=146047] 
2020-03-29 06:46:51:828 652 sec: 8973 operations; 14.2 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=142, Max=148351, Min=4026, Avg=70117.91, 90=123967, 99=145023, 99.9=148351, 99.99=148351] 
2020-03-29 06:47:01:828 662 sec: 9112 operations; 13.9 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=139, Max=149631, Min=4324, Avg=72060.52, 90=128895, 99=148479, 99.9=149631, 99.99=149631] 
2020-03-29 06:47:11:828 672 sec: 9248 operations; 13.6 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=136, Max=156287, Min=4224, Avg=73712.01, 90=126015, 99=149503, 99.9=156287, 99.99=156287] 
2020-03-29 06:47:21:828 682 sec: 9393 operations; 14.5 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=145, Max=151807, Min=4588, Avg=68624.18, 90=122495, 99=148479, 99.9=151807, 99.99=151807] 
2020-03-29 06:47:31:828 692 sec: 9537 operations; 14.4 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=144, Max=145919, Min=4552, Avg=69889.53, 90=128511, 99=145791, 99.9=145919, 99.99=145919] 
