2020-03-29 05:37:37:112 711 sec: 9827 operations; 13.4 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=134, Max=163967, Min=4552, Avg=74429.24, 90=132095, 99=145791, 99.9=163967, 99.99=163967] 
2020-03-29 05:37:47:111 721 sec: 9974 operations; 14.7 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=147, Max=155135, Min=4560, Avg=68290.44, 90=129919, 99=149887, 99.9=155135, 99.99=155135] 
2020-03-29 05:37:57:112 731 sec: 10107 operations; 13.3 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=133, Max=146047, Min=4576, Avg=75578.81, 90=124351, 99=139775, 99.9=146047, 99.99=146047] 
2020-03-29 05:38:07:111 741 sec: 10236 operations; 12.9 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=129, Max=147199, Min=4548, Avg=76823.07, 90=133119, 99=144895, 99.9=147199, 99.99=147199] 
2020-03-29 05:38:17:111 751 sec: 10387 operations; 15.1 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=151, Max=150655, Min=4556, Avg=66540.17, 90=124159, 99=141695, 99.9=150655, 99.99=150655] 
2020-03-29 05:38:27:111 761 sec: 10538 operations; 15.1 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=151, Max=151039, Min=4196, Avg=66354.97, 90=124095, 99=139007, 99.9=151039, 99.99=151039] 
2020-03-29 05:38:37:111 771 sec: 10672 operations; 13.4 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=134, Max=152831, Min=4552, Avg=74524.22, 90=124095, 99=146047, 99.9=152831, 99.99=152831] 
2020-03-29 05:38:47:111 781 sec: 10803 operations; 13.1 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=131, Max=157439, Min=4544, Avg=76115.73, 90=131199, 99=153215, 99.9=157439, 99.99=157439] 
2020-03-29 05:38:57:111 791 sec: 10942 operations; 13.9 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=139, Max=162687, Min=4564, Avg=71815.54, 90=130431, 99=150143, 99.9=162687, 99.99=162687] 
2020-03-29 05:39:07:111 801 sec: 11088 operations; 14.6 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=146, Max=150783, Min=4576, Avg=68537.9, 90=122175, 99=141055, 99.9=150783, 99.99=150783] 
2020-03-29 05:39:17:111 811 sec: 11233 operations; 14.5 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=145, Max=150911, Min=4520, Avg=68791.02, 90=126463, 99=142591, 99.9=150911, 99.99=150911] 
2020-03-29 05:39:27:111 821 sec: 11374 operations; 14.1 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=141, Max=151935, Min=4508, Avg=71240.26, 90=123455, 99=146431, 99.9=151935, 99.99=151935] 
