2020-03-29 02:04:15:250 552 sec: 11267 operations; 21.1 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=211, Max=105599, Min=4496, Avg=47596.22, 90=85567, 99=92223, 99.9=105599, 99.99=105599] 
2020-03-29 02:04:25:250 562 sec: 11472 operations; 20.5 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=205, Max=104767, Min=4480, Avg=48482.69, 90=87871, 99=103167, 99.9=104767, 99.99=104767] 
2020-03-29 02:04:35:250 572 sec: 11681 operations; 20.9 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=209, Max=116927, Min=4400, Avg=47937.83, 90=83519, 99=106495, 99.9=116927, 99.99=116927] 
2020-03-29 02:04:45:250 582 sec: 11886 operations; 20.5 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=205, Max=127103, Min=4136, Avg=48675.8, 90=85503, 99=95743, 99.9=127103, 99.99=127103] 
2020-03-29 02:04:55:250 592 sec: 12106 operations; 22 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=220, Max=100159, Min=4276, Avg=45363.99, 90=84031, 99=92927, 99.9=100159, 99.99=100159] 
2020-03-29 02:05:05:250 602 sec: 12309 operations; 20.3 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=203, Max=104959, Min=4576, Avg=49138.71, 90=87487, 99=93311, 99.9=104959, 99.99=104959] 
2020-03-29 02:05:15:250 612 sec: 12514 operations; 20.5 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=205, Max=105791, Min=4304, Avg=49234.28, 90=85055, 99=100479, 99.9=105791, 99.99=105791] 
2020-03-29 02:05:25:250 622 sec: 12717 operations; 20.3 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=203, Max=112191, Min=4544, Avg=49024.2, 90=85055, 99=97407, 99.9=112191, 99.99=112191] 
2020-03-29 02:05:35:250 632 sec: 12930 operations; 21.3 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=213, Max=99903, Min=4552, Avg=47048.3, 90=86207, 99=95295, 99.9=99903, 99.99=99903] 
2020-03-29 02:05:45:250 642 sec: 13121 operations; 19.1 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=191, Max=116863, Min=4512, Avg=52313.53, 90=88255, 99=105727, 99.9=116863, 99.99=116863] 
