/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-23 08:47:14:037 0 sec: 0 operations; est completion in 0 second 
2020-03-23 08:47:24:021 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 08:47:34:020 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
Loading oblivious tables.
2020-03-23 08:47:44:020 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-23 08:57:24:020 577 sec: 49260 operations; 85.5 current ops/sec; est completion in 1 day 8 hours [READ: Count=855, Max=22623, Min=11312, Avg=11679.93, 90=11799, 99=12423, 99.9=22623, 99.99=22623] 
2020-03-23 08:57:34:020 587 sec: 50114 operations; 85.4 current ops/sec; est completion in 1 day 8 hours [READ: Count=854, Max=22847, Min=10968, Avg=11691.44, 90=11791, 99=12511, 99.9=22847, 99.99=22847] 
2020-03-23 08:57:44:020 597 sec: 50966 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22815, Min=11200, Avg=11720.04, 90=11791, 99=13303, 99.9=22815, 99.99=22815] 
2020-03-23 08:57:54:020 607 sec: 51817 operations; 85.1 current ops/sec; est completion in 1 day 8 hours [READ: Count=851, Max=22799, Min=11232, Avg=11733.87, 90=11791, 99=13423, 99.9=22799, 99.99=22799] 
2020-03-23 08:58:04:020 617 sec: 52672 operations; 85.5 current ops/sec; est completion in 1 day 8 hours [READ: Count=855, Max=22847, Min=11240, Avg=11674.41, 90=11791, 99=12319, 99.9=22847, 99.99=22847] 
2020-03-23 08:58:14:020 627 sec: 53527 operations; 85.5 current ops/sec; est completion in 1 day 8 hours [READ: Count=855, Max=22655, Min=11360, Avg=11683.08, 90=11791, 99=11975, 99.9=22655, 99.99=22655] 
2020-03-23 08:58:24:020 637 sec: 54379 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22943, Min=11272, Avg=11720.44, 90=11791, 99=12767, 99.9=22943, 99.99=22943] 
2020-03-23 08:58:34:020 647 sec: 55233 operations; 85.4 current ops/sec; est completion in 1 day 8 hours [READ: Count=854, Max=22703, Min=11336, Avg=11690.42, 90=11799, 99=12175, 99.9=22703, 99.99=22703] 
2020-03-23 08:58:44:020 657 sec: 56088 operations; 85.5 current ops/sec; est completion in 1 day 8 hours [READ: Count=855, Max=22911, Min=10976, Avg=11686.68, 90=11783, 99=13319, 99.9=22911, 99.99=22911] 
2020-03-23 08:58:54:020 667 sec: 56943 operations; 85.5 current ops/sec; est completion in 1 day 8 hours [READ: Count=855, Max=22623, Min=11288, Avg=11681.3, 90=11799, 99=12487, 99.9=22623, 99.99=22623] 
