2020-03-24 13:10:54:724 880 sec: 35355 operations; 40.1 current ops/sec; est completion in 2 days 20 hours [READ: Count=401, Max=34815, Min=24192, Avg=24897.24, 90=25087, 99=25551, 99.9=34815, 99.99=34815] 
2020-03-24 13:11:04:724 890 sec: 35757 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=34943, Min=24240, Avg=24885.03, 90=25087, 99=25967, 99.9=34943, 99.99=34943] 
2020-03-24 13:11:14:724 900 sec: 36158 operations; 40.1 current ops/sec; est completion in 2 days 20 hours [READ: Count=401, Max=47423, Min=24272, Avg=24909.49, 90=25103, 99=25487, 99.9=47423, 99.99=47423] 
2020-03-24 13:11:24:724 910 sec: 36560 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=27519, Min=24240, Avg=24843.7, 90=25087, 99=25775, 99.9=27519, 99.99=27519] 
2020-03-24 13:11:34:724 920 sec: 36961 operations; 40.1 current ops/sec; est completion in 2 days 20 hours [READ: Count=401, Max=35103, Min=24272, Avg=24891.15, 90=25055, 99=25279, 99.9=35103, 99.99=35103] 
2020-03-24 13:11:44:724 930 sec: 37365 operations; 40.4 current ops/sec; est completion in 2 days 20 hours [READ: Count=404, Max=25423, Min=24032, Avg=24748.08, 90=25039, 99=25215, 99.9=25423, 99.99=25423] 
2020-03-24 13:11:54:724 940 sec: 37767 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=35391, Min=24192, Avg=24866.85, 90=25071, 99=25967, 99.9=35391, 99.99=35391] 
2020-03-24 13:12:04:724 950 sec: 38169 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=28447, Min=24288, Avg=24833.59, 90=25039, 99=26127, 99.9=28447, 99.99=28447] 
2020-03-24 13:12:14:724 960 sec: 38571 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=35871, Min=24048, Avg=24891.7, 90=25055, 99=26079, 99.9=35871, 99.99=35871] 
2020-03-24 13:12:24:724 970 sec: 38973 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=35423, Min=24144, Avg=24873.53, 90=25087, 99=25823, 99.9=35423, 99.99=35423] 
