2020-03-24 13:45:28:150 839 sec: 33670 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=26191, Min=24320, Avg=24800.93, 90=25039, 99=25279, 99.9=26191, 99.99=26191] 
2020-03-24 13:45:38:150 849 sec: 34072 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=26063, Min=24272, Avg=24840.48, 90=25071, 99=25311, 99.9=26063, 99.99=26063] 
2020-03-24 13:45:48:150 859 sec: 34474 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35135, Min=24336, Avg=24875.32, 90=25103, 99=25295, 99.9=35135, 99.99=35135] 
2020-03-24 13:45:58:150 869 sec: 34875 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=34943, Min=24176, Avg=24894.86, 90=25055, 99=25967, 99.9=34943, 99.99=34943] 
2020-03-24 13:46:08:150 879 sec: 35277 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=35103, Min=24272, Avg=24863.92, 90=25071, 99=26271, 99.9=35103, 99.99=35103] 
2020-03-24 13:46:18:150 889 sec: 35678 operations; 40.1 current ops/sec; est completion in 2 days 20 hours [READ: Count=401, Max=35391, Min=24224, Avg=24915.11, 90=25087, 99=25375, 99.9=35391, 99.99=35391] 
2020-03-24 13:46:28:150 899 sec: 36080 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=35135, Min=24288, Avg=24886.49, 90=25055, 99=26591, 99.9=35135, 99.99=35135] 
2020-03-24 13:46:38:150 909 sec: 36481 operations; 40.1 current ops/sec; est completion in 2 days 20 hours [READ: Count=401, Max=35327, Min=24272, Avg=24893.07, 90=25103, 99=25407, 99.9=35327, 99.99=35327] 
2020-03-24 13:46:48:150 919 sec: 36883 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=35167, Min=24176, Avg=24882.33, 90=25103, 99=25279, 99.9=35167, 99.99=35167] 
2020-03-24 13:46:58:150 929 sec: 37285 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=35295, Min=24256, Avg=24868.44, 90=25087, 99=25615, 99.9=35295, 99.99=35295] 
2020-03-24 13:47:08:150 939 sec: 37685 operations; 40 current ops/sec; est completion in 2 days 20 hours [READ: Count=400, Max=35167, Min=24256, Avg=24931.84, 90=25119, 99=26351, 99.9=35167, 99.99=35167] 
2020-03-24 13:47:18:150 949 sec: 38087 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=35039, Min=24192, Avg=24872.02, 90=25119, 99=25359, 99.9=35039, 99.99=35039] 
2020-03-24 13:47:28:149 959 sec: 38488 operations; 40.1 current ops/sec; est completion in 2 days 20 hours [READ: Count=401, Max=35039, Min=24288, Avg=24901.17, 90=25087, 99=26543, 99.9=35039, 99.99=35039] 
2020-03-24 13:47:38:150 969 sec: 38891 operations; 40.3 current ops/sec; est completion in 2 days 20 hours [READ: Count=403, Max=34815, Min=24240, Avg=24846.97, 90=25087, 99=25455, 99.9=34815, 99.99=34815] 
