2020-03-23 13:07:17:096 726 sec: 46130 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=16095, Min=15176, Avg=15670.65, 90=15855, 99=15951, 99.9=16095, 99.99=16095] 
2020-03-23 13:07:27:096 736 sec: 46767 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=28111, Min=15048, Avg=15687.86, 90=15839, 99=16111, 99.9=28111, 99.99=28111] 
2020-03-23 13:07:37:096 746 sec: 47404 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=16063, Min=15248, Avg=15669.85, 90=15831, 99=15951, 99.9=16063, 99.99=16063] 
2020-03-23 13:07:47:096 756 sec: 48040 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=27807, Min=15224, Avg=15705.98, 90=15831, 99=16111, 99.9=27807, 99.99=27807] 
2020-03-23 13:07:57:096 766 sec: 48675 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=27887, Min=15072, Avg=15733.42, 90=15863, 99=16959, 99.9=27887, 99.99=27887] 
2020-03-23 13:08:07:096 776 sec: 49312 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=28095, Min=15152, Avg=15690.41, 90=15831, 99=16263, 99.9=28095, 99.99=28095] 
2020-03-23 13:08:17:096 786 sec: 49947 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=28111, Min=15280, Avg=15733.72, 90=15839, 99=16359, 99.9=28111, 99.99=28111] 
2020-03-23 13:08:27:096 796 sec: 50581 operations; 63.4 current ops/sec; est completion in 1 day 19 hours [READ: Count=634, Max=28031, Min=15256, Avg=15752.69, 90=15871, 99=16815, 99.9=28031, 99.99=28031] 
2020-03-23 13:08:37:096 806 sec: 51217 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=27839, Min=15256, Avg=15702.01, 90=15823, 99=16375, 99.9=27839, 99.99=27839] 
2020-03-23 13:08:47:096 816 sec: 51853 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=28063, Min=15224, Avg=15696.14, 90=15839, 99=16375, 99.9=28063, 99.99=28063] 
2020-03-23 13:08:57:096 826 sec: 52488 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=28063, Min=15224, Avg=15741.37, 90=15855, 99=16543, 99.9=28063, 99.99=28063] 
