2020-03-24 14:21:01:210 861 sec: 34600 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=26991, Min=24192, Avg=24826.31, 90=25039, 99=25759, 99.9=26991, 99.99=26991] 
2020-03-24 14:21:11:210 871 sec: 35002 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=35231, Min=24112, Avg=24849.95, 90=25071, 99=26703, 99.9=35231, 99.99=35231] 
2020-03-24 14:21:21:210 881 sec: 35405 operations; 40.3 current ops/sec; est completion in 2 days 20 hours [READ: Count=403, Max=25935, Min=24160, Avg=24820.74, 90=25071, 99=25407, 99.9=25935, 99.99=25935] 
2020-03-24 14:21:31:210 891 sec: 35807 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=26671, Min=24304, Avg=24834.07, 90=25071, 99=25679, 99.9=26671, 99.99=26671] 
2020-03-24 14:21:41:210 901 sec: 36209 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=35263, Min=24208, Avg=24858.99, 90=25087, 99=25391, 99.9=35263, 99.99=35263] 
2020-03-24 14:21:51:210 911 sec: 36611 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=35231, Min=24240, Avg=24863.78, 90=25087, 99=25631, 99.9=35231, 99.99=35231] 
2020-03-24 14:22:01:210 921 sec: 37013 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=35295, Min=24144, Avg=24842.05, 90=25055, 99=25455, 99.9=35295, 99.99=35295] 
2020-03-24 14:22:11:210 931 sec: 37416 operations; 40.3 current ops/sec; est completion in 2 days 20 hours [READ: Count=403, Max=28863, Min=24048, Avg=24826.38, 90=25055, 99=25567, 99.9=28863, 99.99=28863] 
2020-03-24 14:22:21:210 941 sec: 37818 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=35263, Min=24192, Avg=24844.4, 90=25055, 99=25231, 99.9=35263, 99.99=35263] 
2020-03-24 14:22:31:210 951 sec: 38220 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=27359, Min=24176, Avg=24839.44, 90=25087, 99=25871, 99.9=27359, 99.99=27359] 
