2020-04-06 12:36:23:990 629 sec: 25130 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=26735, Min=24320, Avg=24897.87, 90=25119, 99=26319, 99.9=26735, 99.99=26735] 
2020-04-06 12:36:33:990 639 sec: 25532 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=26991, Min=24368, Avg=24876.91, 90=25087, 99=25615, 99.9=26991, 99.99=26991] 
2020-04-06 12:36:43:990 649 sec: 25933 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=34719, Min=24240, Avg=24917.07, 90=25135, 99=25727, 99.9=34719, 99.99=34719] 
2020-04-06 12:36:53:990 659 sec: 26334 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=26015, Min=24288, Avg=24946.81, 90=25231, 99=25455, 99.9=26015, 99.99=26015] 
2020-04-06 12:37:03:990 669 sec: 26734 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35519, Min=24272, Avg=24945.44, 90=25135, 99=25711, 99.9=35519, 99.99=35519] 
2020-04-06 12:37:13:990 679 sec: 27136 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35295, Min=24096, Avg=24895.46, 90=25103, 99=25775, 99.9=35295, 99.99=35295] 
2020-04-06 12:37:23:990 689 sec: 27538 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=26319, Min=24208, Avg=24870.65, 90=25103, 99=25583, 99.9=26319, 99.99=26319] 
2020-04-06 12:37:33:990 699 sec: 27939 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=25567, Min=24336, Avg=24899.97, 90=25135, 99=25359, 99.9=25567, 99.99=25567] 
2020-04-06 12:37:43:990 709 sec: 28339 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35039, Min=24336, Avg=24978.38, 90=25183, 99=26031, 99.9=35039, 99.99=35039] 
2020-04-06 12:37:53:990 719 sec: 28740 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35391, Min=24384, Avg=24937.96, 90=25103, 99=25311, 99.9=35391, 99.99=35391] 
2020-04-06 12:38:03:990 729 sec: 29140 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=27087, Min=24352, Avg=24951.56, 90=25183, 99=25727, 99.9=27087, 99.99=27087] 
2020-04-06 12:38:13:990 739 sec: 29540 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35391, Min=24272, Avg=24961.64, 90=25167, 99=25951, 99.9=35391, 99.99=35391] 
2020-04-06 12:38:23:990 749 sec: 29941 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35007, Min=24464, Avg=24963.7, 90=25183, 99=25743, 99.9=35007, 99.99=35007] 
2020-04-06 12:38:33:990 759 sec: 30341 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35135, Min=24256, Avg=24969.62, 90=25167, 99=25871, 99.9=35135, 99.99=35135] 
2020-04-06 12:38:43:990 769 sec: 30742 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35455, Min=24176, Avg=24942.18, 90=25119, 99=26111, 99.9=35455, 99.99=35455] 
2020-04-06 12:38:53:990 779 sec: 31143 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35199, Min=24272, Avg=24888.1, 90=25103, 99=25247, 99.9=35199, 99.99=35199] 
2020-04-06 12:39:03:990 789 sec: 31544 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35263, Min=24304, Avg=24936.56, 90=25119, 99=25999, 99.9=35263, 99.99=35263] 
2020-04-06 12:39:13:990 799 sec: 31945 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=26927, Min=24320, Avg=24858.23, 90=25087, 99=25631, 99.9=26927, 99.99=26927] 
2020-04-06 12:39:23:990 809 sec: 32345 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35423, Min=24304, Avg=25039.34, 90=25119, 99=35071, 99.9=35423, 99.99=35423] 
2020-04-06 12:39:33:990 819 sec: 32745 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35231, Min=24352, Avg=24986.12, 90=25103, 99=26559, 99.9=35231, 99.99=35231] 
2020-04-06 12:39:43:990 829 sec: 33146 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=27567, Min=24288, Avg=24885.05, 90=25119, 99=25503, 99.9=27567, 99.99=27567] 
2020-04-06 12:39:53:990 839 sec: 33548 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=25391, Min=24368, Avg=24873.39, 90=25103, 99=25247, 99.9=25391, 99.99=25391] 
2020-04-06 12:40:03:990 849 sec: 33948 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35551, Min=24304, Avg=24989.88, 90=25151, 99=26511, 99.9=35551, 99.99=35551] 
2020-04-06 12:40:13:990 859 sec: 34349 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35231, Min=24320, Avg=24902.38, 90=25087, 99=25951, 99.9=35231, 99.99=35231] 
2020-04-06 12:40:23:990 869 sec: 34750 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35071, Min=24160, Avg=24904.7, 90=25103, 99=26063, 99.9=35071, 99.99=35071] 
2020-04-06 12:40:33:990 879 sec: 35152 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35295, Min=24304, Avg=24912.7, 90=25151, 99=25391, 99.9=35295, 99.99=35295] 
2020-04-06 12:40:43:990 889 sec: 35552 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35199, Min=24288, Avg=24949.44, 90=25151, 99=26799, 99.9=35199, 99.99=35199] 
2020-04-06 12:40:53:990 899 sec: 35954 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35327, Min=24288, Avg=24879.96, 90=25071, 99=25231, 99.9=35327, 99.99=35327] 
2020-04-06 12:41:03:990 909 sec: 36354 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35327, Min=24288, Avg=24953.16, 90=25151, 99=25663, 99.9=35327, 99.99=35327] 
2020-04-06 12:41:13:990 919 sec: 36754 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35103, Min=24256, Avg=24977.12, 90=25151, 99=26143, 99.9=35103, 99.99=35103] 
2020-04-06 12:41:23:990 929 sec: 37154 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35295, Min=24368, Avg=24970.12, 90=25151, 99=25375, 99.9=35295, 99.99=35295] 
2020-04-06 12:41:33:990 939 sec: 37555 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=25743, Min=24128, Avg=24917.45, 90=25135, 99=25423, 99.9=25743, 99.99=25743] 
2020-04-06 12:41:43:990 949 sec: 37956 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=27359, Min=24400, Avg=24923.11, 90=25135, 99=25919, 99.9=27359, 99.99=27359] 
2020-04-06 12:41:53:990 959 sec: 38358 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=26943, Min=24304, Avg=24888, 90=25119, 99=25295, 99.9=26943, 99.99=26943] 
2020-04-06 12:42:03:990 969 sec: 38758 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35519, Min=24240, Avg=24973.28, 90=25103, 99=26399, 99.9=35519, 99.99=35519] 
2020-04-06 12:42:13:990 979 sec: 39159 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=27119, Min=24192, Avg=24912.98, 90=25151, 99=25871, 99.9=27119, 99.99=27119] 
