2020-04-06 19:17:03:020 520 sec: 82336 operations; 160.2 current ops/sec; est completion in 17 hours 24 minutes [READ: Count=1602, Max=14327, Min=5540, Avg=6235.37, 90=6383, 99=8975, 99.9=14183, 99.99=14327] 
2020-04-06 19:17:13:020 530 sec: 83918 operations; 158.2 current ops/sec; est completion in 17 hours 23 minutes [READ: Count=1582, Max=14615, Min=5744, Avg=6311.08, 90=6387, 99=9255, 99.9=14271, 99.99=14615] 
2020-04-06 19:17:23:020 540 sec: 85511 operations; 159.3 current ops/sec; est completion in 17 hours 23 minutes [READ: Count=1594, Max=14431, Min=5444, Avg=6266.57, 90=6399, 99=9175, 99.9=14367, 99.99=14431] 
2020-04-06 19:17:33:020 550 sec: 87095 operations; 158.4 current ops/sec; est completion in 17 hours 23 minutes [READ: Count=1583, Max=15727, Min=5432, Avg=6308.11, 90=6415, 99=9335, 99.9=14423, 99.99=15727] 
2020-04-06 19:17:43:020 560 sec: 88679 operations; 158.4 current ops/sec; est completion in 17 hours 23 minutes [READ: Count=1584, Max=14527, Min=5620, Avg=6302.57, 90=6403, 99=9111, 99.9=14495, 99.99=14527] 
2020-04-06 19:17:53:020 570 sec: 90273 operations; 159.4 current ops/sec; est completion in 17 hours 23 minutes [READ: Count=1594, Max=14279, Min=5392, Avg=6265.02, 90=6391, 99=9103, 99.9=14199, 99.99=14279] 
2020-04-06 19:18:03:020 580 sec: 91850 operations; 157.7 current ops/sec; est completion in 17 hours 22 minutes [READ: Count=1577, Max=14423, Min=5660, Avg=6333.46, 90=6411, 99=9247, 99.9=14287, 99.99=14423] 
2020-04-06 19:18:13:020 590 sec: 93445 operations; 159.5 current ops/sec; est completion in 17 hours 22 minutes [READ: Count=1595, Max=14263, Min=5496, Avg=6260.37, 90=6387, 99=8839, 99.9=14199, 99.99=14263] 
2020-04-06 19:18:23:020 600 sec: 95029 operations; 158.4 current ops/sec; est completion in 17 hours 22 minutes [READ: Count=1584, Max=14983, Min=5832, Avg=6303.27, 90=6407, 99=9159, 99.9=14311, 99.99=14983] 
2020-04-06 19:18:33:020 610 sec: 96614 operations; 158.5 current ops/sec; est completion in 17 hours 22 minutes [READ: Count=1585, Max=14207, Min=5764, Avg=6300.61, 90=6407, 99=8935, 99.9=14183, 99.99=14207] 
2020-04-06 19:18:43:020 620 sec: 98208 operations; 159.4 current ops/sec; est completion in 17 hours 22 minutes [READ: Count=1594, Max=14327, Min=5348, Avg=6266.59, 90=6395, 99=9319, 99.9=14327, 99.99=14327] 
2020-04-06 19:18:53:020 630 sec: 99833 operations; 162.5 current ops/sec; est completion in 17 hours 21 minutes [READ: Count=1626, Max=14255, Min=5320, Avg=6144.17, 90=6355, 99=6987, 99.9=14015, 99.99=14255] 
2020-04-06 19:19:03:020 640 sec: 101405 operations; 157.2 current ops/sec; est completion in 17 hours 21 minutes [READ: Count=1571, Max=14207, Min=5704, Avg=6356.27, 90=6423, 99=12743, 99.9=14207, 99.99=14207] 
2020-04-06 19:19:13:020 650 sec: 102999 operations; 159.4 current ops/sec; est completion in 17 hours 21 minutes [READ: Count=1595, Max=14231, Min=5592, Avg=6261.47, 90=6383, 99=9159, 99.9=14223, 99.99=14231] 
2020-04-06 19:19:23:020 660 sec: 104581 operations; 158.2 current ops/sec; est completion in 17 hours 20 minutes [READ: Count=1581, Max=14399, Min=5816, Avg=6314.32, 90=6407, 99=9071, 99.9=14319, 99.99=14399] 
2020-04-06 19:19:33:020 670 sec: 106174 operations; 159.3 current ops/sec; est completion in 17 hours 20 minutes [READ: Count=1593, Max=14287, Min=5724, Avg=6269.05, 90=6395, 99=7547, 99.9=14247, 99.99=14287] 
2020-04-06 19:19:43:020 680 sec: 107753 operations; 157.9 current ops/sec; est completion in 17 hours 20 minutes [READ: Count=1579, Max=14431, Min=5764, Avg=6324.57, 90=6407, 99=9335, 99.9=14247, 99.99=14431] 
2020-04-06 19:19:53:020 690 sec: 109345 operations; 159.2 current ops/sec; est completion in 17 hours 20 minutes [READ: Count=1592, Max=14279, Min=5764, Avg=6270.27, 90=6387, 99=8983, 99.9=14223, 99.99=14279] 
2020-04-06 19:20:03:020 700 sec: 110925 operations; 158 current ops/sec; est completion in 17 hours 20 minutes [READ: Count=1580, Max=14287, Min=5812, Avg=6315.46, 90=6407, 99=9039, 99.9=14223, 99.99=14287] 
2020-04-06 19:20:13:019 710 sec: 112521 operations; 159.6 current ops/sec; est completion in 17 hours 19 minutes [READ: Count=1596, Max=14415, Min=5564, Avg=6259.6, 90=6391, 99=9159, 99.9=14207, 99.99=14415] 
2020-04-06 19:20:23:020 720 sec: 114118 operations; 159.7 current ops/sec; est completion in 17 hours 19 minutes [READ: Count=1597, Max=14151, Min=5524, Avg=6254.08, 90=6391, 99=7679, 99.9=14079, 99.99=14151] 
2020-04-06 19:20:33:020 730 sec: 115708 operations; 159 current ops/sec; est completion in 17 hours 19 minutes [READ: Count=1590, Max=14439, Min=5608, Avg=6281.19, 90=6403, 99=9103, 99.9=14367, 99.99=14439] 
2020-04-06 19:20:43:020 740 sec: 117269 operations; 156.1 current ops/sec; est completion in 17 hours 19 minutes [READ: Count=1561, Max=213247, Min=5580, Avg=6397.85, 90=6375, 99=9199, 99.9=26815, 99.99=213247] 
2020-04-06 19:20:53:020 750 sec: 118869 operations; 160 current ops/sec; est completion in 17 hours 19 minutes [READ: Count=1600, Max=14463, Min=5484, Avg=6239.24, 90=6379, 99=9207, 99.9=14399, 99.99=14463] 
2020-04-06 19:21:03:020 760 sec: 120470 operations; 160.1 current ops/sec; est completion in 17 hours 18 minutes [READ: Count=1601, Max=14327, Min=5756, Avg=6239.53, 90=6375, 99=6867, 99.9=14071, 99.99=14327] 
2020-04-06 19:21:13:020 770 sec: 122076 operations; 160.6 current ops/sec; est completion in 17 hours 18 minutes [READ: Count=1607, Max=14199, Min=5536, Avg=6217.2, 90=6351, 99=7491, 99.9=14143, 99.99=14199] 
2020-04-06 19:21:23:020 780 sec: 123686 operations; 161 current ops/sec; est completion in 17 hours 18 minutes [READ: Count=1609, Max=14535, Min=5568, Avg=6206.12, 90=6359, 99=6607, 99.9=13959, 99.99=14535] 
2020-04-06 19:21:33:020 790 sec: 125290 operations; 160.4 current ops/sec; est completion in 17 hours 17 minutes [READ: Count=1604, Max=14183, Min=5412, Avg=6224.82, 90=6355, 99=8815, 99.9=14159, 99.99=14183] 
